loss,delay,fast_recovery,md5_hash,ttc
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.74117636680603
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.719521284103394
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.5170419216156
3.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,49.78007984161377
3.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,43.30436706542969
3.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,45.08597993850708
3.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,100.80398225784302
3.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,53.192997217178345
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,25.810813188552856
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,26.081534385681152
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.5941104888916
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,25.49886417388916
3.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,26.490137100219727
3.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,43.2684588432312
3.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,55.200382232666016
3.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,42.97078490257263
3.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,47.908118724823
3.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,50.551517724990845
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.50550937652588
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.744138717651367
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.768582820892334
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,25.459091186523438
4.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.691823720932007
4.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,89.52760195732117
4.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,65.61549735069275
4.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,45.71898317337036
4.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,53.642603158950806
4.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,44.51426029205322
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.357425212860107
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.903526782989502
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.019434213638306
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.310410976409912
4.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,21.587322235107422
4.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,51.075775146484375
4.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,95.04845404624939
4.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,106.08596062660217
4.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,67.55207300186157
4.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,53.76783084869385
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.2669939994812
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,21.729909420013428
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,21.363725900650024
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,20.90225601196289
5.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.30108380317688
5.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,49.20129632949829
5.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,56.52116417884827
5.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,56.92315149307251
5.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,72.78625655174255
5.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,65.04059505462646
