loss,delay,fast_recovery,md5_hash,ttc
1,60,1,d41d8cd98f00b204e9800998ecf8427e,0.7154655456542969
1,60,1,015efc12938b7704c92a21af11208751,0.7471117973327637
1,60,1,d41d8cd98f00b204e9800998ecf8427e,0.7249512672424316
1,60,1,24fb208c5296fcf0dd9be7b4546a42e2,2.6127443313598633
1,60,0,8c251d8ba3fa9aaaddb7fcba97b93000,0.7308487892150879
1,60,0,13e4452d71cfe9c70c3ba3d351348721,0.7934274673461914
1,60,0,13e4452d71cfe9c70c3ba3d351348721,0.8056130409240723
1,60,0,824dd5dc66a19ca20e684d520fc7112c,0.7078602313995361
1,60,0,4eb78bc25585151f368081e960fffd85,0.7604553699493408
1,80,1,13e4452d71cfe9c70c3ba3d351348721,0.9524130821228027
1,80,1,5466be80853a6375aa89b69e19faa873,0.8977885246276855
1,80,1,ac2688cffc52626173c079d9e0b57294,0.922307014465332
1,80,1,824dd5dc66a19ca20e684d520fc7112c,0.9182240962982178
1,80,1,55f9658e4968470309e7683f994ca659,0.9036819934844971
1,80,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.9069788455963135
1,80,0,13e4452d71cfe9c70c3ba3d351348721,1.0292224884033203
1,80,0,8c251d8ba3fa9aaaddb7fcba97b93000,0.9181389808654785
1,80,0,824dd5dc66a19ca20e684d520fc7112c,0.919708251953125
1,80,0,824dd5dc66a19ca20e684d520fc7112c,0.8899567127227783
1,100,1,e60bb327ef507a83f64d425faa583a2a,2.1294167041778564
1,100,1,d41d8cd98f00b204e9800998ecf8427e,1.1063358783721924
1,100,1,13e4452d71cfe9c70c3ba3d351348721,1.2592823505401611
1,100,1,824dd5dc66a19ca20e684d520fc7112c,1.120798110961914
1,100,1,13e4452d71cfe9c70c3ba3d351348721,1.2507925033569336
1,100,0,3c2a04bf09dc0814df2111819f2ede04,1.0834851264953613
1,100,0,13e4452d71cfe9c70c3ba3d351348721,1.2608046531677246
1,100,0,dc13b1d6236e64346c998448e13e97b5,1.095165491104126
1,100,0,13e4452d71cfe9c70c3ba3d351348721,1.239316701889038
1,100,0,96e8f52639e4a6ee4c0b4887bf08580d,2.9020369052886963
1,120,1,f271dbdaa2abbccf5bb0667bde28edbb,1.282637357711792
1,120,1,efeb8edca4532d81a8d71d58c8e5283b,1.284452199935913
1,120,1,181c834f0e06b869456fc80dcab0d6d5,1.2733399868011475
1,120,1,aec4773f568b5c53c6b9f48c3277c9b1,1.3030598163604736
1,120,1,5466be80853a6375aa89b69e19faa873,1.2658812999725342
1,120,0,f976cacbfed522233e8ded389edd34ae,1.2693405151367188
1,120,0,c8ae4f3e822853cfd6cb37b227f29a1d,1.2617814540863037
